,Date,State,Confirmed,Deceased,Recovered,State_Name
11,01-Apr-20,GJ,13,0,0,Gujarat
50,01-Jul-20,GJ,675,21,368,Gujarat
89,01-Jun-20,GJ,423,25,861,Gujarat
128,01-May-20,GJ,326,22,123,Gujarat
167,02-Apr-20,GJ,1,1,5,Gujarat
206,02-Jul-20,GJ,681,19,563,Gujarat
245,02-Jun-20,GJ,415,29,1114,Gujarat
284,02-May-20,GJ,333,26,160,Gujarat
323,03-Apr-20,GJ,7,2,0,Gujarat
362,03-Jul-20,GJ,687,18,340,Gujarat
401,03-Jun-20,GJ,485,30,318,Gujarat
440,03-May-20,GJ,374,28,146,Gujarat
479,04-Apr-20,GJ,13,1,3,Gujarat
518,04-Jul-20,GJ,712,21,473,Gujarat
557,04-Jun-20,GJ,492,33,455,Gujarat
596,04-May-20,GJ,376,29,153,Gujarat
635,05-Apr-20,GJ,20,1,8,Gujarat
674,05-Jul-20,GJ,725,18,486,Gujarat
713,05-Jun-20,GJ,510,35,344,Gujarat
752,05-May-20,GJ,441,49,186,Gujarat
791,06-Apr-20,GJ,18,1,1,Gujarat
830,06-Jul-20,GJ,735,17,423,Gujarat
869,06-Jun-20,GJ,498,29,313,Gujarat
908,06-May-20,GJ,380,28,119,Gujarat
947,07-Apr-20,GJ,29,2,3,Gujarat
986,07-Jul-20,GJ,778,17,421,Gujarat
1025,07-Jun-20,GJ,480,30,319,Gujarat
1064,07-May-20,GJ,388,29,209,Gujarat
1103,08-Apr-20,GJ,11,2,0,Gujarat
1142,08-Jul-20,GJ,783,16,569,Gujarat
1181,08-Jun-20,GJ,477,31,321,Gujarat
1220,08-May-20,GJ,390,24,163,Gujarat
1259,09-Apr-20,GJ,76,2,1,Gujarat
1298,09-Jul-20,GJ,861,15,429,Gujarat
1337,09-Jun-20,GJ,470,33,409,Gujarat
1376,09-May-20,GJ,394,23,219,Gujarat
1415,10-Apr-20,GJ,116,1,7,Gujarat
1454,10-Jul-20,GJ,875,14,441,Gujarat
1493,10-Jun-20,GJ,510,34,370,Gujarat
1532,10-May-20,GJ,398,21,454,Gujarat
1571,11-Apr-20,GJ,90,3,11,Gujarat
1610,11-Jul-20,GJ,872,10,502,Gujarat
1649,11-Jun-20,GJ,513,38,366,Gujarat
1688,11-May-20,GJ,347,20,235,Gujarat
1727,12-Apr-20,GJ,48,2,0,Gujarat
1766,12-Jul-20,GJ,879,13,513,Gujarat
1805,12-Jun-20,GJ,495,31,392,Gujarat
1844,12-May-20,GJ,362,24,466,Gujarat
1883,13-Apr-20,GJ,56,2,10,Gujarat
1922,13-Jul-20,GJ,902,10,608,Gujarat
1961,13-Jun-20,GJ,517,33,390,Gujarat
2000,13-May-20,GJ,364,29,316,Gujarat
2039,14-Apr-20,GJ,78,2,5,Gujarat
2078,14-Jul-20,GJ,915,14,749,Gujarat
2117,14-Jun-20,GJ,511,29,442,Gujarat
2156,14-Mar-20,GJ,0,0,0,Gujarat
2195,14-May-20,GJ,324,20,191,Gujarat
2234,15-Apr-20,GJ,116,5,5,Gujarat
2273,15-Jul-20,GJ,925,10,791,Gujarat
2312,15-Jun-20,GJ,514,28,339,Gujarat
2351,15-Mar-20,GJ,0,0,0,Gujarat
2390,15-May-20,GJ,340,20,282,Gujarat
2429,16-Apr-20,GJ,163,3,9,Gujarat
2468,16-Jul-20,GJ,919,10,828,Gujarat
2507,16-Jun-20,GJ,524,28,418,Gujarat
2546,16-Mar-20,GJ,0,0,0,Gujarat
2585,16-May-20,GJ,1057,19,273,Gujarat
2624,17-Apr-20,GJ,170,5,13,Gujarat
2663,17-Jul-20,GJ,949,17,770,Gujarat
2702,17-Jun-20,GJ,520,27,348,Gujarat
2741,17-Mar-20,GJ,0,0,0,Gujarat
2780,17-May-20,GJ,391,34,191,Gujarat
2819,18-Apr-20,GJ,277,12,7,Gujarat
2858,18-Jul-20,GJ,960,19,1062,Gujarat
2897,18-Jun-20,GJ,510,31,389,Gujarat
2936,18-Mar-20,GJ,0,0,0,Gujarat
2975,18-May-20,GJ,366,35,305,Gujarat
3014,19-Apr-20,GJ,367,10,12,Gujarat
3053,19-Jul-20,GJ,965,20,877,Gujarat
3092,19-Jun-20,GJ,540,27,340,Gujarat
3131,19-Mar-20,GJ,2,0,0,Gujarat
3170,19-May-20,GJ,395,25,239,Gujarat
3209,20-Apr-20,GJ,196,8,26,Gujarat
3248,20-Jul-20,GJ,998,20,777,Gujarat
3287,20-Jun-20,GJ,539,20,535,Gujarat
3326,20-Mar-20,GJ,5,0,0,Gujarat
3365,20-May-20,GJ,398,30,176,Gujarat
3404,21-Apr-20,GJ,239,19,8,Gujarat
3443,21-Jul-20,GJ,1026,34,744,Gujarat
3482,21-Jun-20,GJ,580,25,655,Gujarat
3521,21-Mar-20,GJ,7,0,0,Gujarat
3560,21-May-20,GJ,371,24,269,Gujarat
3599,22-Apr-20,GJ,229,13,40,Gujarat
3638,22-Jun-20,GJ,563,21,560,Gujarat
3677,22-Mar-20,GJ,4,1,0,Gujarat
3716,22-May-20,GJ,363,29,392,Gujarat
3755,23-Apr-20,GJ,217,9,79,Gujarat
3794,23-Jun-20,GJ,549,26,604,Gujarat
3833,23-Mar-20,GJ,12,0,0,Gujarat
3872,23-May-20,GJ,396,27,289,Gujarat
3911,24-Apr-20,GJ,191,15,7,Gujarat
3950,24-Jun-20,GJ,572,25,575,Gujarat
3989,24-Mar-20,GJ,4,0,0,Gujarat
4028,24-May-20,GJ,394,29,243,Gujarat
4067,25-Apr-20,GJ,256,6,17,Gujarat
4106,25-Jun-20,GJ,577,18,410,Gujarat
4145,25-Mar-20,GJ,4,0,0,Gujarat
4184,25-May-20,GJ,405,30,224,Gujarat
4223,26-Apr-20,GJ,230,18,31,Gujarat
4262,26-Jun-20,GJ,580,18,532,Gujarat
4301,26-Mar-20,GJ,5,2,0,Gujarat
4340,26-May-20,GJ,361,27,501,Gujarat
4379,27-Apr-20,GJ,247,11,81,Gujarat
4418,27-Jun-20,GJ,615,18,379,Gujarat
4457,27-Mar-20,GJ,4,0,0,Gujarat
4496,27-May-20,GJ,376,23,410,Gujarat
4535,28-Apr-20,GJ,226,19,40,Gujarat
4574,28-Jun-20,GJ,624,19,391,Gujarat
4613,28-Mar-20,GJ,8,1,0,Gujarat
4652,28-May-20,GJ,367,22,454,Gujarat
4691,29-Apr-20,GJ,308,16,93,Gujarat
4730,29-Jun-20,GJ,626,19,440,Gujarat
4769,29-Mar-20,GJ,8,1,1,Gujarat
4808,29-May-20,GJ,372,20,608,Gujarat
4847,30-Apr-20,GJ,313,17,86,Gujarat
4886,30-Jun-20,GJ,620,20,422,Gujarat
4925,30-Mar-20,GJ,7,1,2,Gujarat
4964,30-May-20,GJ,412,27,621,Gujarat
5003,31-Mar-20,GJ,4,0,2,Gujarat
5042,31-May-20,GJ,438,31,689,Gujarat
